pcode,province,pvalue,catid,groupid,year,,,,,,,,
9,Xiengkhouang,70,23,1,2017,,,,,,,,
10,Vienitiane,85,23,1,2017,,,,,,,,
11,Borlikhamxay,600,23,1,2017,,,,,,,,
12,Khammouane,55,23,1,2017,,,,,,,,
13,Savannakhet,340,23,1,2017,,,,,,,,
18,Xaisomboun,140,23,1,2017,,,,,,,,
14,Saravan,10,23,1,2017,,,,,,,,
15,Xekong,150,23,1,2017,,,,,,,,
16,Champassak,0,23,1,2017,,,,,,,,
17,Attapue,30,23,1,2017,,,,,,,,
2,Phongsaly,0,24,1,2017,,,,,,,,
3,Louangnamtha,70,24,1,2017,,,,,,,,
4,Oudomxai,55,24,1,2017,,,,,,,,
5,Bokeo,0,24,1,2017,,,,,,,,
6,Louangprabang,420,24,1,2017,,,,,,,,
7,Houaphan,35,24,1,2017,,,,,,,,
8,Xayaboury,0,24,1,2017,,,,,,,,
1,Vientiane Capital,125,24,1,2017,,,,,,,,
9,Xiengkhouang,40,24,1,2017,,,,,,,,
10,Vienitiane,445,24,1,2017,,,,,,,,
11,Borlikhamxay,255,24,1,2017,,,,,,,,
12,Khammouane,215,24,1,2017,,,,,,,,
13,Savannakhet,380,24,1,2017,,,,,,,,
18,Xaisomboun,0,24,1,2017,,,,,,,,
14,Saravan,0,24,1,2017,,,,,,,,
15,Xekong,45,24,1,2017,,,,,,,,
16,Champassak,0,24,1,2017,,,,,,,,
17,Attapue,0,24,1,2017,,,,,,,,
2,Phongsaly,15,25,1,2017,,,,,,,,
3,Louangnamtha,575,25,1,2017,,,,,,,,
4,Oudomxai,245,25,1,2017,,,,,,,,
5,Bokeo,400,25,1,2017,,,,,,,,
6,Louangprabang,215,25,1,2017,,,,,,,,
7,Houaphan,135,25,1,2017,,,,,,,,
8,Xayaboury,830,25,1,2017,,,,,,,,
1,Vientiane Capital,395,25,1,2017,,,,,,,,
9,Xiengkhouang,255,25,1,2017,,,,,,,,
10,Vienitiane,485,25,1,2017,,,,,,,,
11,Borlikhamxay,275,25,1,2017,,,,,,,,
12,Khammouane,380,25,1,2017,,,,,,,,
13,Savannakhet,1885,25,1,2017,,,,,,,,
18,Xaisomboun,20,25,1,2017,,,,,,,,
14,Saravan,170,25,1,2017,,,,,,,,
15,Xekong,50,25,1,2017,,,,,,,,
16,Champassak,640,25,1,2017,,,,,,,,
17,Attapue,50,25,1,2017,,,,,,,,
2,Phongsaly,0,26,1,2017,,,,,,,,
3,Louangnamtha,0,26,1,2017,,,,,,,,
4,Oudomxai,0,26,1,2017,,,,,,,,
5,Bokeo,0,26,1,2017,,,,,,,,
6,Louangprabang,285,26,1,2017,,,,,,,,
7,Houaphan,80,26,1,2017,,,,,,,,
8,Xayaboury,0,26,1,2017,,,,,,,,
1,Vientiane Capital,385,26,1,2017,,,,,,,,
9,Xiengkhouang,100,26,1,2017,,,,,,,,
10,Vienitiane,0,26,1,2017,,,,,,,,
11,Borlikhamxay,0,26,1,2017,,,,,,,,
12,Khammouane,100,26,1,2017,,,,,,,,
13,Savannakhet,0,26,1,2017,,,,,,,,
18,Xaisomboun,55,26,1,2017,,,,,,,,
14,Saravan,300,26,1,2017,,,,,,,,
15,Xekong,70,26,1,2017,,,,,,,,
16,Champassak,0,26,1,2017,,,,,,,,
17,Attapue,0,26,1,2017,,,,,,,,
2,Phongsaly,85,27,1,2017,,,,,,,,
3,Louangnamtha,35,27,1,2017,,,,,,,,
4,Oudomxai,95,27,1,2017,,,,,,,,
5,Bokeo,0,27,1,2017,,,,,,,,
6,Louangprabang,390,27,1,2017,,,,,,,,
7,Houaphan,0,27,1,2017,,,,,,,,
8,Xayaboury,0,27,1,2017,,,,,,,,
1,Vientiane Capital,90,27,1,2017,,,,,,,,
9,Xiengkhouang,0,27,1,2017,,,,,,,,
10,Vienitiane,0,27,1,2017,,,,,,,,
11,Borlikhamxay,0,27,1,2017,,,,,,,,
12,Khammouane,0,27,1,2017,,,,,,,,
13,Savannakhet,0,27,1,2017,,,,,,,,
18,Xaisomboun,10,27,1,2017,,,,,,,,
14,Saravan,0,27,1,2017,,,,,,,,
15,Xekong,0,27,1,2017,,,,,,,,
16,Champassak,0,27,1,2017,,,,,,,,
17,Attapue,0,27,1,2017,,,,,,,,
2,Phongsaly,1035,1,2,2017,,,,,,,,
3,Louangnamtha,0,1,2,2017,,,,,,,,
4,Oudomxai,420,1,2,2017,,,,,,,,
5,Bokeo,0,1,2,2017,,,,,,,,
6,Louangprabang,1535,1,2,2017,,,,,,,,
7,Houaphan,160,1,2,2017,,,,,,,,
8,Xayaboury,0,1,2,2017,,,,,,,,
1,Vientiane Capital,0,1,2,2017,,,,,,,,
9,Xiengkhouang,370,1,2,2017,,,,,,,,
10,Vienitiane,0,1,2,2017,,,,,,,,
11,Borlikhamxay,0,1,2,2017,,,,,,,,
12,Khammouane,0,1,2,2017,,,,,,,,
13,Savannakhet,0,1,2,2017,,,,,,,,
18,Xaisomboun,0,1,2,2017,,,,,,,,
14,Saravan,18945,1,2,2017,,,,,,,,
15,Xekong,11365,1,2,2017,,,,,,,,
16,Champassak,45730,1,2,2017,,,,,,,,
17,Attapue,1330,1,2,2017,,,,,,,,
2,Phongsaly,8685,2,2,2017,,,,,,,,
3,Louangnamtha,0,2,2,2017,,,,,,,,
4,Oudomxai,0,2,2,2017,,,,,,,,
5,Bokeo,0,2,2,2017,,,,,,,,
6,Louangprabang,0,2,2,2017,,,,,,,,
7,Houaphan,475,2,2,2017,,,,,,,,
8,Xayaboury,0,2,2,2017,,,,,,,,
1,Vientiane Capital,0,2,2,2017,,,,,,,,
9,Xiengkhouang,0,2,2,2017,,,,,,,,
10,Vienitiane,0,2,2,2017,,,,,,,,
11,Borlikhamxay,0,2,2,2017,,,,,,,,
12,Khammouane,0,2,2,2017,,,,,,,,
13,Savannakhet,0,2,2,2017,,,,,,,,
18,Xaisomboun,0,2,2,2017,,,,,,,,
14,Saravan,1065,2,2,2017,,,,,,,,
15,Xekong,1050,2,2,2017,,,,,,,,
16,Champassak,3280,2,2,2017,,,,,,,,
17,Attapue,700,2,2,2017,,,,,,,,
